UUID,site_id,comid,lng,lat,model_cfs,model_percentile,model_category,model_trend,model_pct_normal,usgs_cfs
11152650,11152650,,-121.7049475,36.7049586,24.941770477138306,76.7,W0,steady,160.1,1.72
2146409,02146409,,-80.8369444,35.2036111,2.9283281478694736,6.7,D2,falling,47.3,3.33
2146470,02146470,,-80.8530556,35.16444444,7.133746067564488,6.7,D2,falling,49.7,0.69
3451500,03451500,,-82.5780556,35.60888889,669.959674864155,10.0,D2,falling,59.6,768.0
11348500,11348500,,-120.9277458,41.40600116,121.34670556543621,63.3,None,falling,129.6,1.42
209734440,0209734440,,-79.066,35.92230556,2.7407347884792204,73.3,W0,rising,132.3,1.18
11467000,11467000,,-122.9277737,38.50852336,76.93545690741479,50.0,None,steady,101.2,156.0
11023000,11023000,,-117.1686449,32.76504998,7.895707166625793,80.0,W1,steady,300.0,4.23
214655255,0214655255,,-80.7191667,35.1758333,2.763814095888579,43.3,None,steady,95.7,1.39
8059000,08059000,,-96.595824,33.20372724,6.837965299183095,53.3,None,falling,120.2,11.2
8059000,08059000,,-96.595824,33.20372724,6.837965299183095,53.3,None,falling,120.2,7.45
8059000,08059000,,-96.595824,33.20372724,6.837965299183095,53.3,None,falling,120.2,9.11
208111310,0208111310,,-76.9841667,36.04777778,21.186364967917168,66.7,None,rising,185.3,0.12
11150500,11150500,,-120.8687915,35.9302434,41.99808602963409,56.7,None,steady,109.8,484.0
2134500,02134500,,-78.9602778,34.4425,149.86155406102057,0.0,D4,steady,41.0,121.0
2094775,02094775,,-79.7961111,36.0311111,1.4466498874503022,26.7,D0,falling,76.9,0.26
2093877,02093877,,-79.92388889,36.12805556,1.4304089039567123,10.0,D2,falling,63.1,1.25
11335000,11335000,,-121.0452212,38.50018619,187.69486823056954,60.0,None,falling,105.9,78.9
11424000,11424000,,-121.4066238,39.0001727,54.782504974365594,40.0,None,falling,88.8,23.8
8018500,08018500,,-95.4857901,32.61374667,129.4465788588291,63.3,None,falling,134.3,86.5
8018500,08018500,,-95.4857901,32.61374667,129.4465788588291,63.3,None,falling,134.3,63.7
8018500,08018500,,-95.4857901,32.61374667,129.4465788588291,63.3,None,falling,134.3,74.7
8091000,08091000,,-97.7025268,32.25903188,895.430506390292,66.7,None,steady,119.2,16.9
8091000,08091000,,-97.7025268,32.25903188,895.430506390292,66.7,None,steady,119.2,13.9
8091000,08091000,,-97.7025268,32.25903188,895.430506390292,66.7,None,steady,119.2,15.6
10336645,10336645,,-120.1185209,39.05185197,2.3379421830820686,60.0,None,rising,124.4,1.95
8055500,08055500,,-96.94445,32.965957,88.81851033322197,40.0,None,falling,51.1,5270.0
8055500,08055500,,-96.94445,32.965957,88.81851033322197,40.0,None,falling,51.1,5100.0
8055500,08055500,,-96.94445,32.965957,88.81851033322197,40.0,None,falling,51.1,5200.0
11159200,11159200,,-121.7705065,36.9393968,2.596838874500975,63.3,None,falling,187.4,0.8
8177500,08177500,,-97.1386004,28.73110317,24.98550366364628,66.7,None,falling,236.2,3.95
8177500,08177500,,-97.1386004,28.73110317,24.98550366364628,66.7,None,falling,236.2,3.45
8177500,08177500,,-97.1386004,28.73110317,24.98550366364628,66.7,None,falling,236.2,3.65
8164300,08164300,,-96.812756,29.466908,4.712538739298084,30.0,D0,falling,35.8,1.73
8164300,08164300,,-96.812756,29.466908,4.712538739298084,30.0,D0,falling,35.8,1.36
8164300,08164300,,-96.812756,29.466908,4.712538739298084,30.0,D0,falling,35.8,1.54
8143600,08143600,,-98.740603,31.5173861,23.019965470386452,53.3,None,falling,116.8,0.86
11465700,11465700,,-122.7683227,38.37352515,3.4021921357274616,56.7,None,falling,150.8,0.0
8183900,08183900,,-98.7094694,29.77498889,0.11346891150540438,16.7,D1,falling,3.0,2.9
8183900,08183900,,-98.7094694,29.77498889,0.11346891150540438,16.7,D1,falling,3.0,1.4
8183900,08183900,,-98.7094694,29.77498889,0.11346891150540438,16.7,D1,falling,3.0,1.98
11063510,11063510,,-117.4669944,34.2633392,8.109336368230588,90.0,W2,steady,300.0,6.0
8070000,08070000,,-95.1040999,30.33659809,264.1203146709017,96.7,W3,falling,300.0,168.0
8070000,08070000,,-95.1040999,30.33659809,264.1203146709017,96.7,W3,falling,300.0,133.0
8070000,08070000,,-95.1040999,30.33659809,264.1203146709017,96.7,W3,falling,300.0,147.0
8094800,08094800,,-98.032812,31.9765366,6.622969778693033,53.3,None,falling,105.2,8.64
