site_id,model_cfs,comid,usgs_cfs,nwm_cfs
11152650,24.941770477138306,17604479,1.72,1.7657349605327473
02146409,2.9283281478694736,9731486,3.33,3.178322928958945
02146470,7.133746067564488,9731488,0.69,0.3531469921065495
03451500,669.959674864155,22162094,768.0,769.8604427922778
11348500,121.34670556543621,7932045,1.42,2.118881952639297
0209734440,2.7407347884792204,8896032,1.18,1.412587968426198
08067100,24.21525491163716,1515531,,25552.656907853598
11467000,76.93545690741479,8272725,156.0,137.37417992944773
11023000,7.895707166625793,20331516,4.23,5.650351873704792
0214655255,2.763814095888579,9731284,1.39,1.0594409763196484
08059000,6.837965299183095,1292124,11.2,9.181821794770286
08059000,6.837965299183095,1292124,7.45,9.181821794770286
08059000,6.837965299183095,1292124,9.11,9.181821794770286
0208111310,21.186364967917168,10449386,0.12,0.0
11150500,41.99808602963409,8211251,484.0,484.87082016229243
02134500,149.86155406102057,9131716,121.0,121.83571227675957
02094775,1.4466498874503022,8891056,0.26,0.3531469921065495
02093877,1.4304089039567123,8890414,1.25,0.706293984213099
11335000,187.69486823056954,20192498,78.9,78.75177923976052
11424000,54.782504974365594,948020363,23.8,27.54546538431086
08018500,129.4465788588291,5275740,86.5,85.46157208978497
08018500,129.4465788588291,5275740,63.7,85.46157208978497
08018500,129.4465788588291,5275740,74.7,85.46157208978497
08174700,102.8024788822856,1623075,,349.9686691775905
08091000,895.430506390292,5512484,16.9,10.594409763196484
08091000,895.430506390292,5512484,13.9,10.594409763196484
08091000,895.430506390292,5512484,15.6,10.594409763196484
10336645,2.3379421830820686,8941733,1.95,2.118881952639297
08143500,13.201825763596727,5736533,,14.125879684261978
08055500,88.81851033322197,1279694,5270.0,5190.201342989957
08055500,88.81851033322197,1279694,5100.0,5190.201342989957
08055500,88.81851033322197,1279694,5200.0,5190.201342989957
11159200,2.596838874500975,17665491,0.8,0.706293984213099
08177500,24.98550366364628,1638885,3.95,0.706293984213099
08177500,24.98550366364628,1638885,3.45,0.706293984213099
08177500,24.98550366364628,1638885,3.65,0.706293984213099
08164300,4.712538739298084,7846049,1.73,1.7657349605327473
08164300,4.712538739298084,7846049,1.36,1.7657349605327473
08164300,4.712538739298084,7846049,1.54,1.7657349605327473
08143600,23.019965470386452,5736179,0.86,0.3531469921065495
11465700,3.4021921357274616,8273659,0.0,0.0
08183900,0.11346891150540438,7850579,2.9,2.118881952639297
08183900,0.11346891150540438,7850579,1.4,2.118881952639297
08183900,0.11346891150540438,7850579,1.98,2.118881952639297
11063510,8.109336368230588,22557744,6.0,4.944057889491693
08070000,264.1203146709017,1520007,168.0,165.97908629007824
08070000,264.1203146709017,1520007,133.0,165.97908629007824
08070000,264.1203146709017,1520007,147.0,165.97908629007824
08094800,6.622969778693033,5530672,8.64,11.653850739516132
08094800,6.622969778693033,5530672,8.26,11.653850739516132
08094800,6.622969778693033,5530672,8.38,11.653850739516132
08176900,8.425689295798687,1638559,0.0,187.52105280857776
08176900,8.425689295798687,1638559,0.0,187.52105280857776
08176900,8.425689295798687,1638559,0.0,187.52105280857776
11176400,0.2213061824470883,2806807,0.0,7.769233826344088
08178565,9.676341932589454,10840502,16.3,14.125879684261978
08178565,9.676341932589454,10840502,12.0,14.125879684261978
08178565,9.676341932589454,10840502,13.5,14.125879684261978
0212419274,8.519099571582538,9201663,6.2,8.122380818450637
08111110,0.8588482472093768,5559104,,162.8007633611193
0212433550,101.72490307202527,9202447,79.2,76.63289728712124
08034500,279.6993863788175,1151409,781.0,723.9513338184264
08034500,279.6993863788175,1151409,565.0,723.9513338184264
08034500,279.6993863788175,1151409,669.0,723.9513338184264
0208758850,18.47728491249514,8784415,23.5,28.251759368523956
11465680,2.413402799948027,8273659,0.27,0.0
08130500,0.0,5702799,,0.706293984213099
08062500,388.83041773876295,1262531,6270.0,6189.960477643599
08062500,388.83041773876295,1262531,6000.0,6189.960477643599
08062500,388.83041773876295,1262531,6140.0,6189.960477643599
08047500,9.416867430423025,1268904,0.0,40.61190409225319
08047500,9.416867430423025,1268904,0.0,40.61190409225319
08047500,9.416867430423025,1268904,0.0,40.61190409225319
02094659,3.7198108596481556,8890896,1.13,1.0594409763196484
10338700,12.53451200771085,8933890,11.8,11.653850739516132
11465240,17.533192452832903,8272227,115.0,121.12941829254646
11418500,13.095330414988005,8061235,1.98,2.825175936852396
03510577,255.77355862847514,19729930,259.0,265.91968505623174
08181480,11.076416970868046,10836388,1.93,1.7657349605327473
08181480,11.076416970868046,10836388,1.64,1.7657349605327473
08181480,11.076416970868046,10836388,1.79,1.7657349605327473
11460600,9.14770168913374,5329511,8.63,8.122380818450637
02090380,133.23831558894634,11573494,32.2,32.136376281696
08109800,6.078368583394458,5570253,0.7,0.706293984213099
08109800,6.078368583394458,5570253,0.54,0.706293984213099
08109800,6.078368583394458,5570253,0.6,0.706293984213099
11152000,21.827149319887866,8205291,20.8,24.367142455351914
11313433,0.0,1889676,,6876.125083306624
03503000,305.86335633755317,19736737,345.0,390.22742627773715
02087182,591.0653032888201,166737584,,150.08747164528353
08211520,2.0587318555190373,1636035,12.2,3.5314699210654945
08211520,2.0587318555190373,1636035,11.2,3.5314699210654945
08211520,2.0587318555190373,1636035,11.8,3.5314699210654945
11266500,337.5574879395104,21609641,299.0,299.1155023142474
10251300,1.5696950975611286,948090452,0.09,2.118881952639297
11042400,1.1514683968989285,22549471,0.04,0.0
08158930,1.7139741008710319,5781731,0.0,26.13287741588466
08158930,1.7139741008710319,5781731,0.0,26.13287741588466
08158930,1.7139741008710319,5781731,0.0,26.13287741588466
08086212,0.014015541848819228,5525607,0.0,2.825175936852396
08086212,0.014015541848819228,5525607,0.0,2.825175936852396
08086212,0.014015541848819228,5525607,0.0,2.825175936852396
02121500,66.69710717352872,9223419,15.7,14.479026676368528
08073100,167.9704490428661,1440289,1660.0,828.1296964898585
08073100,167.9704490428661,1440289,797.0,828.1296964898585
08073100,167.9704490428661,1440289,1290.0,828.1296964898585
08170950,0.04891671117727939,1628253,6.91,12.71329171583578
08170950,0.04891671117727939,1628253,6.3,12.71329171583578
08170950,0.04891671117727939,1628253,6.67,12.71329171583578
08155300,5.5137730660075475,5781337,0.0,3.178322928958945
08155300,5.5137730660075475,5781337,0.0,3.178322928958945
